song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,album_names,playlist,Artist_and_Track_Name
72,286219,0.0966,0.667,0.755,6.94e-05,9,0.0523,-7.246,1,0.069,109.535,4,0.883,Hotel California (Remastered),70s Rock Anthems,Eagles - Life In The Fast Lane - Remastered
73,406306,0.0214,0.274,0.949,0.00778,11,0.218,-8.642000000000001,1,0.0896,100.346,4,0.4970000000000001,Appetite For Destruction,80s Hard Rock,Guns N' Roses - Paradise City
75,296200,0.361,0.453,0.906,0.0005690000000000001,9,0.26,-4.001,1,0.115,137.575,4,0.473,Blizzard of Ozz (Expanded Edition),80s Hard Rock,Ozzy Osbourne - Crazy Train - Remastered
75,273600,0.0326,0.445,0.955,0.284,8,0.317,-8.027000000000001,1,0.0856,123.343,4,0.336,Appetite For Destruction,80s Hard Rock,Guns N' Roses - Welcome To The Jungle
77,356400,0.141,0.449,0.901,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,0.696,Appetite For Destruction,80s Hard Rock,Guns N' Roses - Sweet Child O' Mine
69,265773,0.417,0.537,0.978,1.56e-05,4,0.0374,-2.9210000000000003,0,0.0442,126.343,4,0.931,Permanent Vacation,80s Hard Rock,Aerosmith - Dude (Looks Like A Lady)
3,271400,4.95e-05,0.463,0.926,0.000576,5,0.0868,-3.563,0,0.12,131.129,4,0.501,Diary Of A Madman,80s Hard Rock,Ozzy Osbourne - Over The Mountain
65,257120,0.00253,0.303,0.961,6.2e-05,9,0.132,-5.332999999999998,0,0.243,146.591,4,0.305,Bark At The Moon (Bonus Track Version),80s Hard Rock,Ozzy Osbourne - Bark at the Moon
77,210173,0.00287,0.532,0.767,0.000513,7,0.39,-5.509,1,0.0574,127.361,4,0.755,Back In Black,80s Hard Rock,AC/DC - You Shook Me All Night Long
68,251866,0.0105,0.282,0.6559999999999999,0.0,8,0.0892,-6.557,1,0.0302,139.352,4,0.242,No More Tears (Bonus Track Version),80s Hard Rock,"Ozzy Osbourne - Mama, I'm Coming Home"
66,241373,0.077,0.502,0.513,0.0,0,0.494,-6.473,1,0.0251,108.371,4,0.318,All Out Of Love,80s Love Songs,Air Supply - All Out of Love
49,207760,0.207,0.465,0.552,0.0,9,0.182,-7.23,1,0.0295,79.035,4,0.331,The Best of Air Supply: Ones That You Love,80s Love Songs,Air Supply - Every Woman In The World - Digitally Remastered 1999
