Artist_and_Track_Name,All_Streams,Position
Noah Cyrus - Make Me (Cry),34958855,302
Ugly God - Water,34912587,303
Lil Xan - Betrayed,34559809,304
Drake - Too Good,34549310,305
Drake - Sneakin’,34419695,306
Wham! - Last Christmas,34206665,307
Andy Grammer - Fresh Eyes,34026673,308
J Balvin - Safari,33996238,309
Famous Dex - Pick It Up (feat. A$AP Rocky),33868660,310
GoldLink - Crew,33864210,311
Kodak Black - Patty Cake,33791539,312
Wisin - Vacaciones,33707538,313
Ricky Martin - Vente Pa' Ca,33582542,314
Katy Perry - Swish Swish,32953591,315
Skrillex - Would You Ever,32849689,316
Lil Uzi Vert - Erase Your Social,32827510,317
NAV - Some Way,32687644,318
Alice Merton - No Roots,32671108,319
DJ Snake - A Different Way (with Lauv),32393034,320
Sebastian Yatra - Traicionera,32280653,321
Zuna - Nummer 1,32168859,322
Drake - Do Not Disturb,32160950,323
Adele - Water Under the Bridge,32063115,324
Niska - Réseaux,31920752,325
Felix Jaehn - Hot2Touch,31906019,326
Jonas Blue - Perfect Strangers,31905338,327
G-Eazy - Some Kind Of Drug,31807168,328
ZAYN - Still Got Time,31654028,329
"gnash - i hate u, i love u (feat. olivia o'brien)",31201674,330
J Balvin - Sigo Extrañándote,31184165,331
Jon Pardi - Heartache On The Dance Floor,31129501,332
Moira Dela Torre - Malaya (Camp Sawi Original Motion Picture Soundtrack),31070818,333
Kendrick Lamar - PRIDE.,31043509,334
Ed Sheeran - How Would You Feel (Paean),30895919,335
Sam Smith - Pray,30694303,336
Zara Larsson - I Would Like,30435458,337
Eminem - Walk On Water (feat. Beyoncé),30351695,338
Chance The Rapper - All Night (feat. Knox Fortune),30274498,339
Vice - Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),30156507,340
Kendrick Lamar - FEEL.,30109826,341
Kendrick Lamar - LUST.,29881033,342
Rombai - Cuando Se Pone a Bailar,29781712,343
Chris Brown - Party,29574388,344
IAmChino - Ay Mi Dios,29519608,345
Eminem - River (feat. Ed Sheeran),29515900,346
Don Omar - Te Quiero Pa´Mi,29458299,347
Gestört aber GeiL - Wohin willst du,29382470,348
NAV - Up,29272531,349
Big Shaq - Man's Not Hot,29237713,350
Galantis - Hunter,29197783,351
Lil Pump - Flex Like Ouu,28926187,352
Justin Bieber - Love Yourself,28868654,353
Future - Comin Out Strong,28857693,354
Taylor Swift - Gorgeous,28658545,355
Miami Yacine - Bon Voyage,28629790,356
Big Sean - No Favors,28564146,357
Damso - Θ. Macarena,28464387,358
Manuel Turizo - Una Lady Como Tú,28420545,359
Rich The Kid - New Freezer (feat. Kendrick Lamar),28300494,360
A R I Z O N A - Oceans Away,28215347,361
Drake - Sacrifices,27803743,362
Khalid - 8TEEN,27753206,363
Inigo Pascual - Dahil Sa'Yo,27733673,364
Capo - Lambo Diablo GT (feat. Nimo),27722332,365
Alan Walker - Faded,27696368,366
RAF Camora - Kontrollieren,27455311,367
Ed Sheeran - New Man,27418427,368
CNCO - Reggaetón Lento (Remix),27366270,369
